# Generated from Shodan search results.
# Query: org:spacex
# Generated: 2026-06-06T06:05:19Z
country_code	ip_address
MX	143.105.16.201
MX	143.105.16.214
MX	143.105.16.233
MX	143.105.68.45
MX	143.105.68.48
MX	143.105.68.79
MX	143.105.68.185
MX	143.105.68.190
MX	143.105.68.206
MX	143.105.68.215
MX	143.105.68.218
MX	143.105.69.1
MX	143.105.69.7
MX	143.105.69.58
MX	143.105.69.84
MX	143.105.69.87
MX	143.105.69.133
MX	143.105.69.150
MX	143.105.69.151
MX	143.105.69.158
MX	143.105.69.176
MX	143.105.69.191
MX	143.105.69.217
MX	143.105.69.223
MX	143.105.70.56
MX	143.105.70.63
MX	143.105.70.114
MX	143.105.70.128
MX	143.105.70.210
MX	143.105.70.226
MX	143.105.71.5
MX	143.105.71.13
MX	143.105.71.26
MX	143.105.71.67
MX	143.105.71.81
MX	143.105.71.120
MX	143.105.71.192
MX	143.105.71.205
MX	170.203.192.4
MX	170.203.192.75
MX	170.203.192.145
MX	170.203.192.177
MX	170.203.193.59
MX	170.203.193.77
MX	170.203.193.89
MX	170.203.193.137
MX	170.203.193.147
MX	170.203.193.179
MX	170.203.193.201
MX	170.203.193.231
MX	206.214.224.97
MX	206.214.224.107
MX	216.234.204.17
MX	216.234.204.38
MX	216.234.204.91
MX	216.234.204.94
MX	216.234.204.204
MX	216.234.204.221
MX	216.234.204.245
MY	65.181.18.197
MY	65.181.25.133
MY	65.181.26.5
MY	65.181.26.176
MY	206.83.108.71
MY	206.83.110.102
MZ	98.97.150.114
NG	98.97.78.108
NG	98.97.78.205
NG	129.222.204.79
NG	129.222.204.244
NG	129.222.205.242
NG	129.222.207.57
NG	129.222.207.83
NG	129.222.207.144
NG	135.129.125.149
NG	143.105.102.9
NG	143.105.102.111
NG	143.105.102.118
NG	143.105.102.205
NG	143.105.172.105
NG	143.105.173.72
NG	143.105.173.158
NL	145.224.80.197
NL	145.224.80.248
NL	209.198.141.5
NO	188.92.251.142
NO	188.92.251.146
NO	188.92.251.160
NO	188.92.251.164
NO	188.92.251.165
NO	188.92.251.168
NO	188.92.251.171
NO	188.92.251.174
NO	188.92.251.187
NO	188.92.251.190
NO	188.92.251.198
NO	188.92.251.199
NO	188.92.251.200
NO	188.92.251.216
NO	188.92.251.223
NO	188.92.251.225
NO	188.92.251.232
NO	188.92.251.242
NO	188.92.251.246
NZ	14.1.90.239
NZ	206.83.97.153
NZ	206.83.100.147
NZ	206.83.101.113
NZ	206.83.101.187
PE	129.222.176.15
PE	129.222.176.79
PE	129.222.176.170
PE	129.222.177.98
PE	129.222.177.108
PE	129.222.177.147
PE	129.222.177.198
PE	129.222.182.160
PE	129.222.182.177
PE	129.222.182.255
PE	143.105.156.12
PE	143.105.156.38
PE	143.105.156.52
PE	143.105.156.73
PE	143.105.156.143
PE	143.105.156.169
PH	65.181.8.129
PH	203.17.82.53
PH	203.17.82.59
PH	203.17.82.81
PL	212.105.130.53
PL	212.105.131.136
PR	66.9.165.53
PR	66.9.165.225
RE	98.97.145.50
RE	98.97.145.70
SD	143.105.74.4
SD	143.105.74.36
SD	143.105.74.86
SD	143.105.74.91
SD	143.105.74.170
SD	143.105.74.205
SD	143.105.74.240
SD	143.105.74.251
SV	143.105.122.103
SV	143.105.122.241
TD	143.105.162.10
TD	143.105.162.178
TD	143.105.162.233
TT	143.105.31.59
UA	98.97.144.33
US	66.9.184.229
US	66.9.184.231
US	66.9.185.103
US	98.97.5.43
US	98.97.5.197
US	98.97.6.88
US	98.97.6.113
US	98.97.7.47
US	98.97.7.55
US	98.97.7.137
US	98.97.7.160
US	98.97.7.162
US	98.97.16.103
US	98.97.18.204
US	98.97.19.140
US	98.97.21.175
US	98.97.22.165
US	98.97.22.211
US	98.97.28.188
US	98.97.29.240
US	98.97.30.87
US	98.97.45.171
US	98.97.45.249
US	98.97.47.21
US	98.97.47.23
US	98.97.47.84
US	98.97.47.174
US	98.97.47.218
US	98.97.56.133
US	98.97.56.203
US	98.97.57.183
US	98.97.58.47
US	98.97.62.68
US	98.97.62.76
US	98.97.66.212
US	98.97.90.247
US	98.97.91.12
US	98.97.91.159
US	98.97.93.2
US	98.97.93.137
US	98.97.93.190
US	98.97.94.110
US	98.97.95.92
US	98.97.96.129
US	98.97.97.143
US	98.97.97.152
US	98.97.99.46
US	98.97.99.145
US	98.97.103.45
US	98.97.103.119
US	98.97.107.101
US	98.97.108.59
US	98.97.109.1
US	98.97.109.10
US	98.97.110.21
US	98.97.113.102
US	98.97.115.181
US	98.97.122.98
US	98.97.122.223
US	98.97.125.164
US	98.97.138.6
US	98.97.139.65
US	98.97.139.152
US	98.97.187.192
US	98.97.188.170
US	98.97.188.177
US	98.97.188.229
US	98.97.189.13
US	98.97.190.36
US	98.97.190.172
US	129.222.5.249
US	129.222.6.205
US	129.222.10.14
US	129.222.31.56
US	129.222.34.42
US	129.222.43.1
US	129.222.43.244
US	129.222.48.130
US	129.222.49.29
US	129.222.49.126
US	129.222.49.237
US	129.222.52.250
US	129.222.54.98
US	129.222.54.208
US	129.222.55.55
US	129.222.62.28
US	129.222.70.18
US	129.222.70.62
US	129.222.70.163
US	129.222.70.188
US	129.222.72.47
US	129.222.73.42
US	129.222.74.167
US	129.222.75.154
US	129.222.120.188
US	129.222.122.204
US	129.222.122.221
US	129.222.123.248
US	129.222.124.180
US	129.222.124.197
US	129.222.127.157
US	129.222.127.184
US	129.222.128.230
US	129.222.130.63
US	129.222.130.227
US	129.222.132.119
US	129.222.133.218
US	129.222.134.34
US	129.222.162.151
US	129.222.232.202
US	129.222.233.179
US	129.222.235.84
US	129.222.235.152
US	129.222.237.23
US	129.222.238.212
US	129.222.239.98
US	129.222.239.118
US	129.222.246.51
US	129.222.246.107
US	129.224.193.157
US	129.224.193.232
US	129.224.194.59
US	129.224.195.80
US	129.224.195.91
US	129.224.195.215
US	129.224.197.79
US	129.224.197.181
US	129.224.197.234
US	129.224.198.78
US	129.224.198.80
US	129.224.198.104
US	129.224.198.142
US	129.224.198.152
US	129.224.198.168
US	129.224.198.173
US	129.224.198.174
US	129.224.198.176
US	129.224.198.249
US	129.224.199.109
US	129.224.199.142
US	129.224.210.206
US	129.224.213.29
US	129.224.213.198
US	129.224.216.49
US	129.224.216.64
US	135.129.118.50
US	135.129.252.105
US	135.129.252.197
US	135.129.252.199
US	135.129.252.201
US	143.105.20.80
US	143.105.20.117
US	143.105.20.180
US	143.105.22.26
US	143.105.52.192
US	143.105.57.96
US	143.105.59.98
US	143.105.60.41
US	143.105.84.187
US	143.105.88.25
US	143.105.90.144
US	143.105.91.227
US	143.105.104.200
US	143.105.110.129
US	143.105.148.216
US	143.105.158.53
US	143.105.158.137
US	143.105.158.151
US	143.105.180.31
US	143.105.181.69
US	143.105.181.76
US	143.105.181.154
US	143.105.181.161
US	143.105.181.173
US	143.105.182.204
US	143.105.182.226
US	143.105.186.26
US	143.105.186.176
US	143.105.189.143
US	143.105.194.28
US	143.105.194.67
US	143.105.194.194
US	143.105.200.176
US	143.105.204.54
US	143.105.204.143
US	143.105.204.202
US	143.105.204.254
US	143.105.208.107
US	143.105.208.118
US	143.105.208.153
US	143.105.208.252
US	143.105.214.72
US	143.105.214.109
US	143.105.222.222
US	143.105.223.235
US	143.105.225.50
US	143.105.228.18
US	143.105.228.36
US	143.105.231.11
US	143.105.231.68
US	143.105.232.95
US	143.105.232.145
US	143.105.232.151
US	143.105.232.230
US	143.105.238.17
US	143.105.238.91
US	143.105.252.144
US	143.105.252.204
US	173.250.205.143
US	206.214.224.1
US	206.214.224.3
US	206.214.224.9
US	206.214.224.33
US	206.214.224.41
US	206.214.224.43
US	206.214.224.65
US	206.214.224.67
US	206.214.224.85
US	206.214.224.87
US	206.214.224.141
US	206.214.224.169
US	206.214.224.201
US	206.214.224.239
US	206.214.224.253
US	206.214.226.105
US	206.214.226.143
US	206.214.229.69
US	206.214.229.71
US	206.214.236.24
US	216.234.199.8
US	216.234.201.146
UY	143.105.48.80
UY	143.105.48.140
VE	143.105.146.49
VE	143.105.146.59
VU	168.140.248.86
VU	168.140.248.97
VU	168.140.248.168
VU	168.140.248.218
YE	145.224.99.9
YE	145.224.99.163
YE	145.224.125.16
YE	145.224.127.24
YE	145.224.127.138
YE	209.198.151.78
ZM	216.234.212.85
ZM	216.234.212.95
ZM	216.234.212.230
ZW	98.97.133.16
ZW	98.97.133.38
ZW	98.97.133.45
ZW	98.97.133.53
ZW	98.97.133.226
ZW	143.105.36.188
ZW	216.234.214.2
ZW	216.234.214.66
ZW	216.234.214.78
ZW	216.234.214.141
ZW	216.234.214.151
ZW	216.234.214.231
